Instance,Edges,k,Seed,Objective,Total Time (s),Best Num Evals,Best Actual Time (s)
howe5,141,2,3472,524.478,1296.44,865748,1183.27
howe5,141,2,3714,536.592,1251.68,997171,1248.65
howe5,141,2,8158,511.319,1234.11,989498,1224.76
howe5,141,2,7284,516.88,1280.16,992817,1273.37
howe5,141,2,6948,521.647,1194.95,998912,1193.19
howe5,141,2,6119,528.638,1241.04,997424,1238.21
howe5,141,2,5253,543.89,1349.81,989439,1339.98
howe5,141,2,5134,522.808,1365.47,951131,1323.47
howe5,141,2,7350,490.027,1247.56,994175,1242.3
howe5,141,2,2652,534.658,1261.95,977332,1241.66
howe5,141,2,9968,522.123,1278,989166,1268.23
howe5,141,2,3914,512.178,1265.03,988758,1255.12
howe5,141,2,6899,530.049,1346.06,999790,1345.14
howe5,141,2,4715,530.355,1248.16,998144,1246.03
howe5,141,4,3520,339.873,1448.97,996443,1444.44
howe5,141,4,8115,326.341,1434.72,987543,1421.74
howe5,141,4,8647,344.902,1291.96,666934,960.585
howe5,141,4,9420,332.546,1399.01,974285,1373.5
howe5,141,4,3116,332.765,1383.47,1000411,1383
howe5,141,4,6377,314.203,1333.75,964625,1300.15
howe5,141,4,6207,348.221,1376.97,761355,1139.21
howe5,141,4,4187,338.458,1352.92,793958,1146.95
howe5,141,4,3641,344.453,1386.94,967083,1353.03
howe5,141,4,8591,324.987,1349.72,994386,1343.39
howe5,141,4,3580,322.33,1319.95,970582,1291.67
howe5,141,4,8524,356.627,1461.75,991302,1451.7
howe5,141,4,2650,332.741,1372.59,999109,1370.91
howe5,141,4,2811,316.978,1334.92,961539,1298.52
howe5,141,4,9963,339.983,1358.19,949362,1305.58
howe5,141,4,7537,345.152,1360.98,881675,1240.02
howe5,141,4,3472,322.504,1292.93,956754,1253.73
howe5,141,4,3714,309.313,1281.29,951103,1238.12
howe5,141,4,8158,318.924,1295.47,980023,1277.18
howe5,141,4,7284,325.736,1272.42,987347,1260.14
howe5,141,4,6948,335.612,1305.24,990581,1295.4
howe5,141,4,6119,349.284,1312.83,831687,1154.29
howe5,141,4,5253,321.609,1302.69,996577,1298.85
howe5,141,4,5134,316.477,1256.8,990339,1247.64
howe5,141,4,7350,331.014,1242.22,988181,1230.58
howe5,141,4,2652,327.882,1277.61,996267,1273.43
howe5,141,4,9968,336.996,1341.16,997230,1337.79
howe5,141,4,3914,317.293,1325.58,997486,1322.51
howe5,141,4,6899,320.252,1334.58,997099,1331.29
howe5,141,4,4715,349.206,1360.01,927175,1291.55
howe5,141,8,3520,224.314,1581.56,1000342,1580.87
howe5,141,8,8115,228.701,1553.63,980150,1528.34
howe5,141,8,8647,230.364,1592.46,998844,1589.91
howe5,141,8,9420,223.978,1496.18,983246,1475.48
howe5,141,8,3116,229.317,1526.91,865315,1367.41
howe5,141,8,6377,228.19,1494.6,918197,1397.48
howe5,141,8,6207,212.281,1229.22,978312,1207.88
howe5,141,8,4187,217.947,1242.28,990199,1232.01
howe5,141,8,3641,222.998,1291.17,990861,1281.16
howe5,141,8,8591,230.998,1369.11,1000796,1368.93
howe5,141,8,3580,227.46,1311.37,822891,1136.69
howe5,141,8,8524,215.062,1290.36,998426,1288.01
howe5,141,8,2650,218.218,1286.98,996674,1282.79
howe5,141,8,2811,219.314,1271.96,986211,1257.6
howe5,141,8,9963,226.941,1303.23,994970,1297.42
howe5,141,8,7537,227.002,1372.56,987978,1359.45
howe5,141,8,3472,241.385,1325.48,835470,1150.68
howe5,141,8,3714,238.016,1359.82,998648,1357.41
howe5,141,8,8158,210.464,1219.04,996658,1214.99
howe5,141,8,7284,227.875,1362.85,998314,1360.23
howe5,141,8,6948,218.148,1244.43,987325,1231.35
howe5,141,8,6119,222.212,1331.97,996645,1327.64
howe5,141,8,5253,241.473,1325.06,988442,1312.08
howe5,141,8,5134,225.518,1301.41,970832,1271.15
howe5,141,8,7350,241.692,1347.9,996910,1343.67
howe5,141,8,2652,217.368,1343.73,991309,1332.54
howe5,141,8,9968,217.158,1278.32,998029,1275.5
howe5,141,8,3914,231.569,1385.79,994193,1378.77
howe5,141,8,6899,223.332,1310.27,999439,1308.78
howe5,141,8,4715,214.583,1296.83,985741,1282.71
ktruss1,45,2,3520,132.672,264.11,427732,133.787
ktruss1,45,2,8115,137.978,249.818,324262,100.924
ktruss1,45,2,8647,132.541,261.531,341082,109.162
ktruss1,45,2,9420,127.058,240.353,247852,83.4763
ktruss1,45,2,3116,136.407,263.718,290501,100.012
ktruss1,45,2,6377,129.365,244.286,273285,90.8306
ktruss1,45,2,6207,132.224,255.696,323055,107.569
ktruss1,45,2,4187,134.27,255.441,569036,161.253
ktruss1,45,2,3641,129.014,250.644,342503,104.599
ktruss1,45,2,8591,132.644,254.121,370456,119.738
ktruss1,45,2,3580,135.514,248.169,217347,74.0577
ktruss1,45,2,8524,130.03,244.562,369634,109.557
ktruss1,45,2,2650,131.979,244.599,283566,93.5507
ktruss1,45,2,2811,140.127,258.33,333114,105.325
ktruss1,45,2,9963,135.144,266.202,891357,241.121
ktruss1,45,2,7537,129.319,257.274,478049,147.884
ktruss1,45,2,3472,132.672,261.129,535206,158.282
ktruss1,45,2,3714,130.61,242.459,726859,185.631
ktruss1,45,2,8158,133.769,249.871,249137,83.6998
ktruss1,45,2,7284,139.016,254.115,389343,116.488
ktruss1,45,2,6948,138.487,248.352,219624,75.5723
ktruss1,45,2,6119,132.986,267.777,469277,143.504
ktruss1,45,2,5253,146.26,267.845,225279,79.6077
ktruss1,45,2,5134,131.434,254.186,469932,145.581
ktruss1,45,2,7350,134.681,252.639,296629,98.0242
ktruss1,45,2,2652,122.82,254.612,558121,162.747
ktruss1,45,2,9968,130.46,260.206,389190,126.332
ktruss1,45,2,3914,128.961,251.125,384536,120.009
ktruss1,45,2,6899,123.768,251.532,358652,115.8
ktruss1,45,2,4715,127.452,247.998,844545,214.698
ktruss1,45,4,3520,81.5542,295.203,360642,136.498
ktruss1,45,4,8115,86.1263,300.784,306948,110.188
ktruss1,45,4,8647,83.634,301.128,335231,123.863
ktruss1,45,4,9420,82.6956,301.634,392319,142.425
ktruss1,45,4,3116,85.1698,296.895,310782,114.755
ktruss1,45,4,6377,76.4763,275.765,319663,112.283
ktruss1,45,4,6207,74.634,288.068,486998,164.681
ktruss1,45,4,4187,78.362,293.194,350659,127.274
ktruss1,45,4,3641,86.1358,305.081,327923,119.925
ktruss1,45,4,8591,88.7662,311.524,301209,112.125
ktruss1,45,4,3580,81.9581,294.624,362321,124.409
ktruss1,45,4,8524,76.215,301.621,985224,297.507
ktruss1,45,4,2650,86.7058,296.996,351027,125.751
ktruss1,45,4,2811,88.7587,302.806,323839,117.944
ktruss1,45,4,9963,88.2659,304.887,269023,99.2917
ktruss1,45,4,7537,78.5558,296.076,356599,132.246
ktruss1,45,4,3472,80.8802,292.061,647831,203.848
ktruss1,45,4,3714,81.2498,289.984,319277,116.112
ktruss1,45,4,8158,89.7135,321.158,399540,152.305
ktruss1,45,4,7284,85.1698,298.007,278853,108.212
ktruss1,45,4,6948,92.2224,321.438,395835,145.586
ktruss1,45,4,6119,76.2567,280.935,384016,131.553
ktruss1,45,4,5253,81.0218,285.828,411101,142.791
ktruss1,45,4,5134,75.3459,269.736,293339,101.396
ktruss1,45,4,7350,92.2061,309.285,232787,90.0608
ktruss1,45,4,2652,75.5831,280.266,414841,143.082
ktruss1,45,4,9968,82.4942,296.229,470276,158.661
ktruss1,45,4,3914,81.9433,295.907,343439,126.482
ktruss1,45,4,6899,75.0542,281.595,386412,132.172
ktruss1,45,4,4715,87.9671,302.786,266882,103.474
ktruss1,45,8,3520,67.8278,398.688,278477,130.738
ktruss1,45,8,8115,61.0831,384.944,375868,165.986
