Instance,Edges,k,Seed,Objective,Total Time (s),Evals
howe3,89,8,6899,85.414683,57.629,13576
howe3,89,8,4715,83.273307,58.143,2681
howe4,115,2,8115,336.110005,89.531,10994
howe4,115,2,3520,332.986805,90.808,10397
howe4,115,2,8647,331.146595,88.907,9629
howe4,115,2,9420,330.617681,90.729,9710
howe4,115,2,3116,336.617681,90.225,8468
howe4,115,2,6377,332.599505,90.034,8380
howe4,115,2,6207,330.74985,90.462,6767
howe4,115,2,4187,333.302243,91.991,3590
howe4,115,2,3641,329.416236,90.201,2569
howe4,115,2,8591,334.161105,91.161,14994
howe4,115,2,3580,334.759057,88.827,755
howe4,115,2,8524,326.87305,89.317,10731
howe4,115,2,2650,330.617681,89.072,6394
howe4,115,2,2811,328.005219,88.946,13633
howe4,115,2,9963,334.608474,88.561,7362
howe4,115,2,7537,336.590298,88.117,464
howe4,115,2,3472,334.458129,90.999,14885
howe4,115,2,3714,330.863843,91.754,14448
howe4,115,2,8158,325.452826,90.507,4628
howe4,115,2,7284,326.458129,92.2,8394
howe4,115,2,6948,333.184584,90.007,2057
howe4,115,2,6119,328.740881,90.043,7111
howe4,115,2,5253,332.590298,88.195,4085
howe4,115,2,5134,335.74985,89.835,11106
howe4,115,2,7350,330.863843,88.962,13570
howe4,115,2,2652,329.320657,90.687,10435
howe4,115,2,9968,332.78644,90.175,12869
howe4,115,2,3914,328.18825,90.712,1602
howe4,115,2,6899,333.891226,91.138,9603
howe4,115,2,4715,337.010522,89.416,5576
howe4,115,4,8115,183.280639,91.2,5976
howe4,115,4,3520,186.427318,91.821,7868
howe4,115,4,8647,188.322532,90.655,5123
howe4,115,4,9420,187.153773,90.395,7280
howe4,115,4,3116,182.856749,90.61,14903
howe4,115,4,6377,185.833032,93.427,7827
howe4,115,4,6207,183.24959,91.773,5304
howe4,115,4,4187,183.034477,91.204,7254
howe4,115,4,3641,185.436525,91.025,11064
howe4,115,4,8591,185.856749,90.087,3649
howe4,115,4,3580,187.322532,90.631,12409
howe4,115,4,8524,183.568694,90.676,14975
howe4,115,4,2650,186.787473,90.966,13676
howe4,115,4,2811,183.304118,89.266,6659
howe4,115,4,9963,188.596077,89.943,6468
howe4,115,4,7537,187.742756,90.678,2232
howe4,115,4,3472,185.838335,90.655,7671
howe4,115,4,3714,183.304356,90.59,9213
howe4,115,4,8158,189.262225,91.419,7069
howe4,115,4,7284,177.856749,91.903,9047
howe4,115,4,6948,188.454463,91.113,12804
howe4,115,4,6119,186.427318,90.929,3615
howe4,115,4,5253,179.499418,90.428,11080
howe4,115,4,5134,183.034477,90.155,13973
howe4,115,4,7350,184.856511,90.892,2836
howe4,115,4,2652,184.865718,90.54,14688
howe4,115,4,9968,179.244049,90.476,9969
howe4,115,4,3914,182.322532,91.248,7483
howe4,115,4,6899,181.007094,89.045,3648
howe4,115,4,4715,176.121087,91.086,9609
howe4,115,8,8115,105.135835,91.396,8997
howe4,115,8,3520,104.715611,92.621,2026
howe4,115,8,8647,107.73909,92.98,8253
howe4,115,8,9420,103.679021,93.243,9245
howe4,115,8,3116,106.003428,93.577,4775
howe4,115,8,6377,105.829366,92.91,3908
howe4,115,8,6207,104.276973,91.378,10840
howe4,115,8,4187,107.040018,92.252,3531
howe4,115,8,3641,101.733787,96.98,14371
howe4,115,8,8591,105.84778,91.741,1959
howe4,115,8,3580,103.154011,94.333,2144
howe4,115,8,8524,101.838573,90.232,9068
howe4,115,8,2650,106.73909,90.163,8446
howe4,115,8,2811,106.012635,91.353,10145
howe4,115,8,9963,101.733787,92.541,5879
howe4,115,8,7537,102.268004,91.702,13402
howe4,115,8,3472,101.556059,92.324,12401
howe4,115,8,3714,105.733787,90.642,13095
howe4,115,8,8158,106.838573,91.191,5328
howe4,115,8,7284,106.86229,91.024,13222
