GA Version,k,Pop,Gens,Seeds,Selection,Crossover,PX,Mutator,PM,Problem Instance,Num Edges,Num Vertices,Num Odd Edge Vertices,Sum Edges,,Best Total Travel Distance,Best Longest Route,Average Best Per Seed,Standard Dev Subtour Distance,Time Sec,Best Seed,Best Tour
original,5,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,49.3137,10.8284,53.9037,2.77241,4345.47,3520,"{{0, 1, 5, 7, 9, 13, 15, 11, 7, 3, 0}: 10.828428, {0, 2, 6, 8, 12, 10, 8, 4, 1, 0}: 9.414214, {0, 3, 5, 9, 13, 11, 9, 7, 3, 0}: 9.414214, {0, 1, 4, 8, 12, 14, 10, 6, 4, 2, 0}: 10.828428, {0, 2, 0, 3, 1, 2, 4, 2, 0}: 8.828428}"
original,6,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,57.3137,10.2426,60.6808,2.95324,4772.38,3520,"{{0, 2, 6, 10, 14, 12, 8, 6, 2, 0}: 9.414214, {0, 2, 4, 8, 6, 8, 10, 6, 2, 0}: 9.414214, {0, 1, 2, 4, 1, 5, 7, 3, 1, 0}: 10.242642, {0, 3, 7, 11, 15, 13, 11, 7, 3, 0}: 9.414214, {0, 2, 4, 6, 10, 12, 10, 6, 2, 0}: 9.414214, {0, 3, 5, 9, 13, 11, 9, 7, 3, 0}: 9.414214}"
original,7,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,64.7279,9.41421,64.8646,3.00228,5065.73,3520,"{{0, 1, 2, 6, 10, 12, 8, 4, 2, 0}: 9.414214, {0, 1, 5, 1, 4, 2, 4, 6, 2, 0}: 9.414214, {0, 3, 1, 4, 8, 10, 6, 2, 0}: 8.828428, {0, 3, 7, 11, 15, 13, 9, 7, 3, 0}: 9.414214, {0, 2, 6, 8, 12, 14, 10, 6, 2, 0}: 9.414214, {0, 3, 5, 7, 11, 13, 9, 5, 3, 0}: 9.414214, {0, 3, 7, 9, 11, 9, 5, 1, 0}: 8.828428}"
original,8,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,71.3137,9.41421,71.476,3.99458,5400.25,3520,"{{0, 3, 7, 9, 13, 9, 7, 5, 3, 0}: 9.414214, {0, 1, 2, 6, 8, 4, 2, 0}: 7.414214, {0, 3, 7, 11, 15, 13, 11, 7, 3, 0}: 9.414214, {0, 2, 6, 8, 10, 6, 2, 0}: 7.414214, {0, 2, 4, 6, 10, 12, 10, 6, 2, 0}: 9.414214, {0, 3, 5, 1, 5, 9, 11, 7, 3, 0}: 9.414214, {0, 2, 6, 8, 12, 14, 10, 6, 2, 0}: 9.414214, {0, 1, 4, 1, 3, 5, 9, 7, 3, 0}: 9.414214}"
original,9,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,73.3137,9.41421,76.4256,2.66478,5669.96,3520,"{{0, 2, 6, 10, 12, 8, 4, 2, 0}: 8.000000, {0, 2, 6, 10, 8, 6, 2, 0}: 7.414214, {0, 1, 0, 2, 4, 1, 0}: 6.000000, {0, 3, 7, 11, 15, 13, 9, 5, 1, 0}: 9.414214, {0, 2, 6, 10, 14, 12, 10, 6, 2, 0}: 9.414214, {0, 3, 7, 11, 9, 5, 3, 1, 0}: 8.828428, {0, 2, 6, 4, 2, 0}: 5.414214, {0, 3, 7, 11, 13, 9, 5, 7, 3, 0}: 9.414214, {0, 1, 2, 0, 3, 7, 9, 7, 3, 0}: 9.414214}"
original,10,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-8-segment,29,16,4,32.3137,0,78.7279,9.41421,81.4693,5.39813,6024.44,8115,"{{0, 3, 5, 9, 5, 1, 0}: 6.000000, {0, 2, 6, 10, 12, 8, 6, 4, 2, 0}: 9.414214, {0}: 0.000000, {0, 2, 6, 10, 6, 2, 1, 3, 0}: 8.828428, {0, 3, 7, 9, 13, 15, 11, 7, 3, 0}: 9.414214, {0, 3, 7, 11, 9, 13, 11, 7, 3, 0}: 9.414214, {0, 2, 6, 8, 10, 8, 4, 2, 0}: 8.828428, {0, 2, 6, 10, 14, 12, 10, 6, 2, 0}: 9.414214, {0, 3, 5, 7, 3, 0, 1, 4, 2, 0}: 9.414214, {0, 2, 6, 10, 14, 10, 6, 2, 0}: 8.000000}"
,2,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,3,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,4,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,5,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,6,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,7,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,8,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,9,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
,10,,,,,,,,,single-face-howe-truss-bridge-10-segment,,,,,,,,,,,,
original,2,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,60.9706,30.4853,63.0305,2.02186,6818.66,3641,"{{0, 3, 7, 11, 15, 17, 19, 23, 21, 19, 15, 19, 21, 17, 13, 9, 11, 15, 13, 11, 7, 9, 5, 3, 7, 5, 1, 3, 0}: 30.485281, {0, 2, 6, 8, 10, 14, 18, 20, 22, 18, 16, 12, 8, 4, 8, 12, 16, 20, 16, 14, 12, 10, 6, 4, 1, 4, 2, 1, 0}: 30.485281}"
original,3,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,64.9706,21.6569,72.9686,4.04101,7807.6,6377,"{{0, 2, 6, 10, 12, 16, 20, 18, 16, 12, 14, 18, 22, 20, 16, 14, 10, 8, 4, 1, 0}: 21.656855, {0, 3, 7, 11, 15, 17, 21, 19, 23, 21, 19, 15, 11, 7, 5, 3, 1, 4, 6, 2, 0}: 21.656855, {0, 2, 6, 8, 12, 8, 4, 2, 1, 5, 9, 13, 17, 19, 15, 13, 11, 9, 7, 3, 0}: 21.656855}"
original,4,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,68.9706,17.6569,78.9538,6.28847,8400.27,2811,"{{0, 3, 5, 7, 11, 15, 17, 15, 19, 21, 17, 13, 11, 13, 9, 7, 3, 0}: 17.414215, {0, 3, 5, 9, 13, 15, 19, 17, 21, 23, 19, 15, 11, 9, 5, 1, 0}: 17.656857, {0, 1, 4, 6, 8, 12, 16, 20, 22, 18, 16, 14, 10, 6, 2, 0}: 16.242641, {0, 1, 2, 4, 8, 12, 14, 18, 20, 16, 12, 10, 8, 4, 1, 3, 0}: 17.656857}"
original,5,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,76.9706,16.2426,86.7814,4.35506,9081.3,9420,"{{0, 3, 5, 7, 11, 13, 17, 19, 21, 17, 15, 11, 9, 5, 3, 0}: 16.242641, {0, 3, 7, 9, 5, 1, 4, 6, 8, 10, 12, 8, 4, 2, 0}: 14.828428, {0, 2, 6, 10, 12, 14, 18, 22, 20, 16, 12, 8, 4, 1, 0}: 14.828428, {0, 3, 7, 9, 13, 17, 21, 23, 19, 15, 13, 11, 7, 3, 1, 0}: 16.242641, {0, 1, 2, 6, 10, 14, 16, 18, 20, 18, 14, 10, 6, 2, 0}: 14.828428}"
original,6,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,85.2132,14.8284,98.1909,5.6031,9817.5,3714,"{{0, 1, 4, 8, 12, 16, 18, 22, 20, 18, 14, 10, 6, 2, 0}: 14.828428, {0, 3, 7, 11, 9, 11, 15, 19, 15, 13, 9, 5, 3, 0}: 14.242642, {0, 2, 6, 8, 12, 14, 16, 20, 16, 12, 10, 8, 4, 1, 0}: 14.828428, {0, 3, 7, 9, 13, 17, 19, 21, 17, 13, 11, 7, 3, 0}: 13.414214, {0, 1, 5, 7, 5, 3, 1, 2, 4, 6, 2, 0}: 13.071071, {0, 3, 7, 11, 15, 17, 21, 23, 19, 15, 13, 9, 7, 3, 0}: 14.828428}"
original,7,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,101.213,14.8284,107.092,4.94265,10442.9,6377,"{{0, 3, 5, 7, 5, 9, 13, 15, 11, 7, 3, 5, 1, 0}: 14.242642, {0, 2, 6, 8, 12, 8, 6, 2, 0, 3, 1, 4, 2, 0}: 13.414214, {0, 2, 4, 6, 10, 14, 16, 20, 18, 14, 10, 8, 4, 2, 0}: 14.828428, {0, 2, 4, 8, 10, 14, 18, 20, 22, 18, 14, 10, 6, 2, 0}: 14.828428, {0, 3, 7, 9, 11, 15, 19, 21, 19, 17, 15, 11, 7, 3, 0}: 14.828428, {0, 1, 2, 6, 10, 12, 16, 18, 14, 12, 8, 6, 2, 0}: 14.242642, {0, 3, 7, 11, 13, 17, 21, 23, 19, 15, 13, 9, 7, 3, 0}: 14.828428}"
original,8,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,109.799,14.2426,116.734,6.28666,11097.3,3641,"{{0, 2, 6, 10, 14, 10, 8, 4, 1, 5, 7, 3, 1, 0}: 14.242642, {0, 2, 4, 2, 0, 3, 7, 9, 13, 9, 5, 1, 2, 0}: 13.414214, {0, 2, 6, 10, 14, 18, 22, 20, 16, 14, 10, 6, 2, 0}: 13.414214, {0, 1, 4, 8, 10, 14, 18, 16, 12, 10, 6, 4, 2, 0}: 14.242642, {0, 3, 7, 11, 15, 19, 23, 21, 17, 13, 9, 5, 3, 0}: 13.414214, {0, 1, 4, 8, 12, 14, 18, 20, 16, 12, 8, 6, 2, 0}: 13.414214, {0, 3, 7, 11, 13, 17, 21, 19, 15, 11, 9, 5, 1, 0}: 13.414214, {0, 3, 5, 9, 13, 15, 19, 17, 15, 13, 11, 7, 3, 0}: 14.242642}"
original,9,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,127.799,14.8284,127.887,6.22486,11877.6,3520,"{{0, 2, 6, 10, 14, 18, 16, 12, 10, 8, 10, 6, 2, 0}: 14.242642, {0, 1, 4, 8, 12, 16, 18, 22, 20, 18, 14, 10, 6, 2, 0}: 14.828428, {0, 2, 4, 2, 6, 8, 4, 1, 5, 9, 5, 3, 7, 3, 0}: 14.000000, {0, 3, 7, 9, 11, 13, 17, 21, 23, 19, 15, 11, 7, 3, 0}: 14.828428, {0, 1, 5, 1, 4, 6, 8, 12, 16, 14, 10, 6, 2, 0}: 13.414214, {0, 3, 7, 11, 15, 17, 19, 21, 17, 13, 9, 5, 1, 2, 0}: 14.828428, {0, 1, 3, 0, 3, 7, 11, 15, 17, 13, 9, 7, 3, 0}: 13.414214, {0, 2, 6, 10, 12, 14, 16, 20, 18, 14, 10, 6, 2, 0}: 13.414214, {0, 3, 7, 11, 13, 15, 19, 21, 17, 15, 11, 7, 5, 3, 0}: 14.828428}"
original,10,1000,1000,30,1,2,0.99,2,0.4,single-face-howe-truss-bridge-12-segment,45,24,4,49.9706,0,124.385,13.4142,134.635,5.2116,12262.9,3116,"{{0, 2, 6, 10, 14, 18, 20, 22, 18, 14, 10, 6, 2, 0}: 13.414214, {0, 3, 7, 9, 13, 17, 19, 21, 17, 13, 9, 5, 3, 0}: 13.414214, {0, 2, 6, 10, 14, 12, 16, 14, 10, 6, 4, 2, 0}: 12.828428, {0, 2, 6, 10, 12, 10, 8, 4, 1, 5, 3, 0}: 11.414214, {0, 2, 6, 10, 14, 16, 18, 16, 12, 8, 6, 2, 0}: 12.828428, {0, 2, 4, 8, 12, 16, 20, 18, 14, 10, 6, 2, 0}: 12.000000, {0, 3, 7, 11, 15, 19, 23, 21, 17, 15, 11, 7, 3, 0}: 13.414214, {0, 3, 7, 11, 13, 15, 11, 15, 19, 15, 11, 7, 3, 0}: 13.414214, {0, 2, 4, 2, 1, 4, 1, 5, 9, 5, 3, 1, 0}: 12.828428, {0, 1, 5, 7, 9, 11, 7, 3, 0}: 8.828428}"
original,2,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,19.3006,9.65028,19.3006,0,2052.18,3520,"{{0, 2, 8, 4, 6, 2, 6, 1, 7, 5, 1, 0}: 9.650282, {0, 6, 4, 1, 0, 3, 7, 5, 9, 3, 7, 0}: 9.650282}"
original,3,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,19.3006,6.47214,19.4163,0.334767,1943.62,8115,"{{0, 2, 8, 4, 6, 4, 1, 0}: 6.414214, {0, 6, 2, 6, 1, 7, 5, 7, 0}: 6.472136, {0, 1, 5, 9, 3, 7, 3, 0}: 6.414214}"
original,4,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,20.9186,5.41421,21.0205,0.168912,1987.5,3520,"{{0, 3, 7, 5, 1, 6, 0}: 5.236068, {0, 1, 4, 1, 7, 0}: 5.236068, {0, 2, 6, 4, 8, 2, 0}: 5.414214, {0, 3, 9, 5, 7, 0}: 5.032248}"
original,5,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,22.5366,5.03225,23.0681,0.619485,2122.88,3520,"{{0, 2, 8, 4, 6, 0}: 5.032248, {0, 1, 5, 7, 3, 0}: 4.000000, {0, 2, 6, 4, 1, 0}: 4.000000, {0, 7, 1, 6, 0}: 4.472136, {0, 7, 5, 9, 3, 0}: 5.032248}"
original,6,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,25.1547,5.03225,26.3371,1.34134,2385.41,3520,"{{0, 2, 8, 4, 6, 0}: 5.032248, {0, 6, 2, 6, 4, 1, 0}: 4.618034, {0, 1, 6, 0}: 3.236068, {0, 7, 5, 1, 0}: 3.618034, {0, 3, 7, 1, 0}: 3.618034, {0, 7, 5, 9, 3, 0}: 5.032248}"
original,7,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,29.0088,5.03225,28.9521,1.61031,2588.89,3520,"{{0, 1, 4, 6, 0}: 3.618034, {0, 3, 9, 5, 7, 0}: 5.032248, {0, 6, 4, 8, 2, 0}: 5.032248, {0, 7, 5, 7, 3, 0}: 3.618034, {0, 1, 5, 7, 0}: 3.618034, {0, 7, 1, 6, 2, 0}: 4.854102, {0, 1, 6, 0}: 3.236068}"
original,8,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,30.7727,5.03225,32.1005,1.72027,2707.18,3520,"{{0, 3, 0, 1, 0}: 4.000000, {0, 6, 4, 1, 0}: 3.618034, {0}: 0.000000, {0, 3, 7, 1, 6, 0}: 4.854102, {0, 2, 6, 0, 2, 0}: 4.618034, {0, 2, 8, 4, 6, 0}: 5.032248, {0, 7, 5, 9, 3, 0}: 5.032248, {0, 7, 5, 1, 0}: 3.618034}"
original,9,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,32.0088,5.03225,35.0754,2.07046,2815.99,3520,"{{0, 3, 0}: 2.000000, {0, 7, 3, 7, 1, 0}: 4.236068, {0, 7, 5, 9, 3, 0}: 5.032248, {0, 1, 4, 6, 0}: 3.618034, {0, 7, 5, 1, 6, 0}: 4.854102, {0, 6, 4, 8, 2, 0}: 5.032248, {0}: 0.000000, {0, 1, 5, 7, 0}: 3.618034, {0, 6, 4, 6, 2, 0}: 3.618034}"
original,10,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-4-segment,17,10,6,16.3006,0,39.0088,5.03225,37.3384,2.82823,2935.99,3520,"{{0, 3, 9, 3, 0}: 4.000000, {0, 6, 4, 6, 1, 0}: 4.236068, {0, 2, 8, 4, 6, 0}: 5.032248, {0, 6, 0}: 2.236068, {0, 1, 4, 1, 0}: 4.000000, {0, 3, 7, 5, 7, 0}: 3.618034, {0, 3, 7, 5, 1, 0}: 4.000000, {0, 2, 0}: 2.000000, {0, 2, 6, 1, 7, 0}: 4.854102, {0, 7, 5, 9, 3, 0}: 5.032248}"
original,2,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,29.7727,14.8863,30.8502,0.974566,3634.11,3520,"{{0, 1, 4, 6, 1, 5, 13, 3, 9, 13, 11, 15, 9, 13, 11, 5, 7, 0}: 14.886350, {0, 3, 7, 1, 0, 6, 2, 12, 10, 14, 8, 12, 10, 4, 12, 8, 2, 0}: 14.886350}"
original,3,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,30.7727,10.2683,33.7525,1.74984,3847.94,6207,"{{0, 1, 7, 5, 13, 9, 15, 11, 13, 11, 5, 7, 0}: 10.268316, {0, 6, 2, 8, 12, 10, 14, 8, 12, 4, 6, 1, 0}: 10.268316, {0, 3, 13, 9, 3, 7, 5, 1, 4, 10, 12, 2, 0}: 10.236069}"
original,4,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,33.0088,8.26832,35.441,1.80344,4003.42,8591,"{{0, 3, 7, 1, 4, 10, 12, 8, 12, 2, 0}: 8.236068, {0, 6, 4, 12, 10, 14, 8, 2, 6, 0}: 8.268316, {0, 1, 6, 1, 5, 11, 13, 9, 3, 0}: 8.236068, {0, 3, 13, 9, 15, 11, 13, 5, 7, 0}: 8.268316}"
original,5,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,36.0088,7.65028,38.9912,1.67932,4259.38,3520,"{{0, 3, 13, 9, 15, 11, 5, 7, 0}: 7.650282, {0, 1, 4, 10, 12, 8, 12, 2, 6, 0}: 7.236068, {0, 2, 8, 14, 10, 12, 4, 6, 0}: 7.650282, {0, 3, 7, 1, 4, 1, 6, 0}: 6.854102, {0, 3, 9, 13, 11, 13, 5, 1, 0}: 6.618034}"
original,6,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,40.0088,7.03225,42.4807,1.91032,4424.24,9420,"{{0, 1, 5, 13, 5, 7, 1, 0}: 6.854102, {0, 6, 1, 4, 10, 4, 6, 0}: 6.854102, {0, 3, 7, 3, 13, 11, 13, 9, 3, 0}: 6.618034, {0, 2, 8, 14, 10, 12, 2, 0}: 7.032248, {0, 2, 8, 12, 4, 6, 2, 0}: 5.618034, {0, 7, 5, 11, 15, 9, 3, 0}: 7.032248}"
original,7,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,44.8629,7.03225,46.1654,1.59442,4808.19,3520,"{{0, 2, 8, 14, 10, 12, 2, 0}: 7.032248, {0, 7, 5, 11, 13, 5, 7, 0}: 5.854102, {0, 6, 2, 6, 4, 1, 5, 7, 3, 0}: 6.618034, {0, 3, 9, 15, 11, 5, 7, 0}: 7.032248, {0, 3, 9, 13, 3, 0}: 4.618034, {0, 7, 1, 4, 12, 8, 2, 0}: 6.854102, {0, 1, 6, 4, 10, 12, 4, 6, 0}: 6.854102}"
original,8,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,49.6268,7.03225,50.1925,1.69263,5049.66,3520,"{{0, 7, 5, 11, 15, 9, 3, 0}: 7.032248, {0, 3, 7, 5, 7, 1, 4, 6, 2, 0}: 6.618034, {0, 2, 12, 10, 4, 12, 2, 0}: 6.854102, {0, 6, 1, 0}: 3.236068, {0, 3, 13, 9, 13, 11, 5, 7, 3, 0}: 6.618034, {0, 2, 8, 12, 10, 12, 8, 2, 0}: 6.000000, {0, 7, 5, 11, 13, 5, 1, 0}: 6.236068, {0, 6, 4, 10, 14, 8, 2, 0}: 7.032248}"
original,9,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,55.717,7.03225,55.1244,1.95892,5346.5,3520,"{{0, 2, 6, 4, 1, 7, 3, 0}: 5.618034, {0, 3, 0, 2, 0, 1, 0}: 6.000000, {0, 6, 2, 12, 8, 12, 4, 6, 0}: 6.472136, {0, 7, 5, 11, 15, 9, 3, 0}: 7.032248, {0, 1, 7, 5, 13, 9, 3, 7, 0}: 6.854102, {0, 1, 5, 11, 13, 3, 0}: 5.618034, {0, 1, 6, 1, 5, 7, 0}: 5.854102, {0, 6, 4, 10, 4, 6, 0}: 5.236068, {0, 2, 8, 14, 10, 12, 2, 0}: 7.032248}"
original,10,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-6-segment,29,16,6,26.7727,0,58.953,7.03225,58.4533,2.55491,5613.07,3520,"{{0, 2, 0, 1, 5, 7, 3, 0}: 6.000000, {0, 3, 7, 5, 11, 5, 7, 0}: 5.618034, {0, 2, 6, 1, 6, 4, 6, 0}: 5.854102, {0, 1, 4, 6, 0}: 3.618034, {0, 3, 9, 15, 11, 13, 3, 0}: 7.032248, {0, 2, 12, 10, 12, 8, 12, 4, 6, 0}: 6.854102, {0, 1, 7, 5, 13, 3, 0}: 5.854102, {0, 7, 5, 13, 9, 3, 7, 0}: 5.854102, {0, 2, 8, 14, 10, 4, 6, 0}: 7.032248, {0, 2, 12, 10, 4, 6, 0}: 5.236068}"
original,2,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,40.2448,20.1224,42.4921,1.36609,5637.22,3914,"{{0, 1, 4, 12, 8, 18, 16, 10, 18, 16, 20, 14, 18, 14, 8, 2, 12, 10, 4, 6, 1, 5, 7, 0}: 20.122417, {0, 2, 6, 0, 1, 7, 3, 9, 13, 5, 11, 17, 19, 15, 9, 19, 17, 21, 15, 19, 11, 13, 3, 0}: 20.122417}"
original,3,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,40.2448,13.8863,46.4217,3.00613,6216.05,9963,"{{0, 1, 4, 10, 12, 2, 6, 1, 7, 5, 11, 17, 19, 15, 9, 3, 0}: 13.854101, {0, 6, 4, 12, 8, 18, 14, 18, 16, 18, 10, 16, 20, 14, 8, 2, 0}: 13.886350, {0, 1, 5, 13, 9, 19, 15, 21, 17, 19, 11, 13, 3, 7, 0}: 12.504385}"
original,4,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,44.2448,11.2683,52.6311,3.33789,6702.06,9963,"{{0, 3, 9, 19, 15, 9, 13, 11, 19, 17, 11, 13, 3, 0}: 10.854102, {0, 6, 2, 12, 8, 14, 20, 16, 10, 12, 4, 1, 0}: 11.268316, {0, 1, 5, 13, 9, 15, 21, 17, 11, 5, 7, 3, 0}: 11.032248, {0, 2, 8, 18, 16, 18, 14, 18, 10, 4, 6, 1, 7, 0}: 11.090171}"
original,5,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,50.4809,10.2683,56.2813,3.69728,7033.73,8158,"{{0, 7, 3, 13, 9, 15, 21, 17, 11, 5, 7, 0}: 10.268316, {0, 6, 2, 12, 10, 16, 20, 14, 8, 12, 2, 0}: 10.268316, {0, 3, 7, 1, 4, 12, 10, 16, 18, 14, 8, 2, 0}: 10.236068, {0, 3, 9, 19, 17, 19, 15, 19, 11, 13, 5, 1, 0}: 9.854101, {0, 2, 8, 18, 10, 4, 6, 4, 1, 6, 2, 0}: 9.854102}"
original,6,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,55.8629,9.47214,60.1503,2.51667,7408.48,7537,"{{0, 6, 1, 5, 13, 11, 17, 19, 9, 3, 0}: 9.472136, {0, 3, 7, 5, 11, 17, 21, 15, 9, 3, 0}: 9.414214, {0, 1, 5, 1, 4, 6, 4, 12, 8, 2, 6, 0}: 9.236069, {0, 2, 12, 10, 18, 14, 18, 16, 10, 4, 1, 0}: 9.236068, {0, 2, 8, 14, 20, 16, 18, 8, 2, 0}: 9.032248, {0, 7, 5, 11, 19, 15, 9, 13, 3, 7, 1, 0}: 9.472136}"
original,7,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,61.335,9.03225,67.0979,2.69239,7696.86,3580,"{{0, 3, 9, 19, 17, 19, 15, 19, 11, 13, 3, 0}: 8.854101, {0, 2, 12, 10, 16, 20, 14, 8, 2, 0}: 9.032248, {0, 7, 5, 11, 17, 21, 15, 9, 3, 0}: 9.032248, {0, 3, 9, 13, 5, 7, 3, 7, 0, 2, 6, 0}: 8.854102, {0, 6, 4, 10, 18, 14, 18, 16, 10, 4, 6, 0}: 8.854102, {0, 2, 8, 12, 10, 18, 8, 2, 6, 1, 0}: 8.854101, {0, 1, 5, 7, 1, 4, 12, 2, 0}: 7.854102}"
original,8,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,70.1891,9.03225,71.4051,3.19411,7779.31,3520,"{{0, 7, 5, 11, 17, 21, 15, 9, 3, 0}: 9.032248, {0, 1, 4, 10, 18, 16, 10, 4, 6, 2, 0}: 8.618034, {0, 7, 5, 13, 9, 15, 19, 11, 13, 3, 0}: 8.472136, {0, 2, 6, 4, 12, 10, 18, 14, 8, 12, 2, 0}: 8.854101, {0, 2, 8, 18, 8, 2, 0, 3, 7, 0}: 8.854102, {0, 7, 5, 11, 17, 19, 9, 13, 11, 13, 3, 0}: 8.854101, {0, 6, 4, 10, 16, 20, 14, 8, 2, 0}: 9.032248, {0, 1, 5, 1, 0, 6, 1, 7, 0}: 8.472136}"
original,9,1000,1000,30,1,2,0.99,2,0.4,single-face-k-truss-truss-bridge-8-segment,41,22,6,37.2448,0,75.717,9.03225,77.5381,3.81577,7829.14,3520,"{{0, 3, 9, 15, 19, 11, 5, 13, 3, 0}: 8.854101, {0, 2, 12, 4, 6, 1, 7, 0}: 7.090169, {0, 2, 8, 12, 8, 18, 16, 10, 4, 6, 2, 0}: 8.618034, {0, 2, 12, 10, 16, 20, 14, 8, 2, 0}: 9.032248, {0, 2, 8, 18, 14, 8, 2, 0, 1, 0}: 8.618034, {0, 1, 5, 11, 17, 11, 5, 7, 3, 0}: 8.000000, {0, 3, 9, 19, 17, 21, 15, 9, 3, 0}: 9.032248, {0, 7, 5, 11, 13, 9, 15, 9, 3, 0}: 7.618034, {0, 6, 4, 10, 18, 10, 4, 6, 4, 1, 0}: 8.854101}"
