GA Version,k,Pop,Gens,Seeds,Selection,Crossover,PX,Mutator,PM,Problem Instance,Num Edges,Num Vertices,Num Odd Edge Vertices,Sum Edges,,Best Total Travel Distance,Best Longest Route,Average Best Per Seed,Standard Dev Subtour Distance,Time Sec,Best Seed,Best Tour
original,8,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,490,63,559.567,47.7044,17205,5134,"{{0, 32, 33, 32, 0, 1, 2, 3, 4, 38, 37, 30, 29, 28, 29, 36, 35, 1, 0}: 60.000000, {0, 32, 33, 26, 27, 34, 27, 26, 33, 26, 25, 33, 34, 0}: 61.000000, {0, 5, 6, 5, 1, 0, 39, 0, 9, 8, 7, 0, 32, 25, 32, 0}: 60.000000, {0, 34, 0, 1, 35, 28, 29, 30, 31, 38, 4, 3, 2, 3, 37, 30, 36, 35, 1, 0}: 60.000000, {0, 5, 6, 12, 18, 17, 12, 16, 19, 22, 19, 20, 23, 20, 21, 17, 16, 11, 5, 0}: 63.000000, {0, 10, 0, 5, 11, 16, 12, 6, 2, 1, 0, 9, 15, 14, 15, 10, 11, 5, 0}: 60.000000, {0, 39, 7, 13, 14, 8, 7, 0, 5, 11, 12, 6, 2, 36, 35, 34, 0}: 63.000000, {0, 5, 11, 16, 19, 20, 21, 24, 23, 22, 23, 24, 21, 17, 12, 6, 2, 36, 37, 3, 4, 3, 2, 1, 0}: 63.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,518,60,605.1,41.0458,17784.5,6899,"{{0, 1, 35, 28, 35, 1, 5, 11, 12, 16, 12, 6, 5, 0, 34, 33, 32, 0}: 55.000000, {0, 1, 35, 28, 29, 30, 31, 38, 4, 3, 2, 6, 12, 17, 12, 18, 17, 16, 11, 5, 0}: 60.000000, {0, 34, 27, 26, 25, 32, 0, 1, 35, 36, 29, 30, 29, 36, 35, 1, 0}: 60.000000, {0, 34, 0, 10, 15, 9, 15, 10, 0, 32, 33, 34, 35, 1, 0, 39, 0}: 60.000000, {0, 5, 6, 12, 17, 21, 24, 23, 20, 19, 22, 23, 22, 19, 20, 21, 20, 19, 16, 11, 5, 0}: 55.000000, {0, 39, 7, 13, 14, 15, 10, 0, 1, 0, 32, 33, 26, 25, 33, 32, 0}: 59.000000, {0, 5, 11, 5, 1, 2, 6, 5, 11, 10, 0, 9, 8, 14, 13, 7, 0}: 59.000000, {0, 1, 2, 3, 4, 38, 31, 38, 37, 36, 2, 3, 37, 3, 2, 6, 12, 6, 5, 0}: 52.000000, {0, 7, 8, 14, 15, 10, 0, 1, 35, 36, 37, 30, 36, 2, 6, 12, 16, 11, 5, 0}: 58.000000}"
,10,,,,,,,,,7A,,,,,,,,,,,,
,2,,,,,,,,,8A,,,,,,,,,,,,
,3,,,,,,,,,8A,,,,,,,,,,,,
,4,,,,,,,,,8A,,,,,,,,,,,,
,5,,,,,,,,,8A,,,,,,,,,,,,
,6,,,,,,,,,8A,,,,,,,,,,,,
,7,,,,,,,,,8A,,,,,,,,,,,,
,8,,,,,,,,,8A,,,,,,,,,,,,
,9,,,,,,,,,8A,,,,,,,,,,,,
,10,,,,,,,,,8A,,,,,,,,,,,,
,2,,,,,,,,,9A,,,,,,,,,,,,
,3,,,,,,,,,9A,,,,,,,,,,,,
,4,,,,,,,,,9A,,,,,,,,,,,,
,5,,,,,,,,,9A,,,,,,,,,,,,
,6,,,,,,,,,9A,,,,,,,,,,,,
,7,,,,,,,,,9A,,,,,,,,,,,,
,8,,,,,,,,,9A,,,,,,,,,,,,
,9,,,,,,,,,9A,,,,,,,,,,,,
,10,,,,,,,,,9A,,,,,,,,,,,,
